title ,description ,ISBN10,ISBN13,publisher 
Project management,"Project management. Project managementContents: Preface to the tenth edition; Introduction to project management; Factors for project success or failure; Defining the project; Estimating project costs; First steps in planning the timescale; Financial appraisal and the business plan; Managing project risk; Project authorization; Project organization structures; Organization and initial conduct of management change and IT projects; The project manager and associated roles; Project breakdown structures; Detailed planning: an introduction to critical path networks; Detailed planning: critical path networks in practice; Scheduling resources, part 1: principles; Scheduling resources, part 2: practical advice; Scheduling project cash flows; Computer applications Managing project start-up; Introduction to project contracts and purchase orders; Managing procurement and the supply chain; Managing progress; Managing changes; Managing project costs; Earned value analysis and cost reporting; Managing multiple projects, programmes and portfolios; Implementing business change projects; Managing project closure; Corporate managers' support for the project manager; Bibliography; Index.",1351908480,978-1351908481,London : Routledge
Project management,"1. Introduction 2. Structures and frameworks 3. Projects and organisations Managing the project process: the 4-D model D1: Define it 4. Setting up for success 5. Planning for success D2: Design it 6. Time planning and scheduling 7. Making time planning robust: Advanced Project Thinking (APT) 8. Building a business case for a project 9. Engaging stakeholders 10. Managing risks and opportunities D3: Do it 11. Organising people in the project 12. Leading people in projects 13. Monitoring and controlling the project 14. Procuring, contracting, and working with supply chains 15. Problem-solving and decision-making D4: Develop it 16. Completing projects and learning to improve IndexProject Management is a fast-moving and increasingly widespread discipline with record numbers of practitioners now gaining professional qualifications. Delivering projects on time and within budget is critical to business success and the skill, therefore, is highly valued in graduates and managers alike. Highlights of this fifth edition include: Brand new chapters on Planning and scheduling, Advanced Project Thinking (APT), Procuring, contracting, and working with supply chains. New scene-setting vignettes open each chapter, such as the Range Rover Sport and the Nobel Peace Prize to Nadia Murad and Denis Mukwege Project Management in Practice case studies at the end of each chapter include Heathrow Terminal 5 and the Rescue of Crossrail New and revised Real World examples throughout all chapters A critical appraisal of project management, drawing on recent research and new and original models and frameworks Project Management is written for students on undergraduate, masters and MBA programmes, as well as for corporate training and for professionals practising in a dynamic and fast-developing field",1292088435,978-1292088433,"Harlow, England ; New York : Pearson"
"Project management : a systems approach to planning, scheduling, and controlling",Project management. Project management Case studies.2. Project management growth: concepts and definitions 3. Organizational structures 4. Organizing and staffing the project office and team 5. Management functions 6. Communications management 7. Conflicts 8. Special topics 9. The variables for success 10. Working with executives 11. Planning 12. Network scheduling techniques 13. Pricing and estimating 14. Cost control 15. Metrics 16. Trade-off analysis in a project environment 17. Risk management 18. Learning curves 19. Contract management 20. Quality management 21. Modern developments in project management.,1119805376,978-1119805373,"Hoboken, New Jersey : Wiley"
Project management,"Project management. Project management manuals, etc.Projects, projects and projects Which project Your project organization Plans for your project Managing your project Your project team Managing your project money Monitoring and controlling your project Solving your project problems Closing your project Small projects Project failure and success Key issues for project management The changing face of project management.",71599878,978-0071599870,McGraw-Hill
PROJECT MANAGEMENT : a managerial approach,Brief Contents Preface 1 Projects in Contemporary Organizations PART I: PROJECT INITIATION 2 Strategic Management and Project Selection 3 The Project Manager 4 Managing for Stakeholders and Resolving Conflicts 5 The Project in the Organizational Structure PART II: PROJECT PLANNING 6 Activity Planning: Traditional and Agile 7 Budgeting and Risk Management 8 Scheduling 9 Resource Allocation PART III: PROJECT EXECUTION 10 Monitoring and Information Systems 11 Project Control 12 Project Auditing 13 Project Closure and Benefits Realization AUTHOR INDEX SUBJECT INDEX Appendices on Instructor's Website APPENDIX A Probability and Statistics (online) APPENDIX B Answers to Selected Problems (online) APPENDIX C Technological Forecasting (online) APPENDIX D Creativity and Idea Generation (online),1119803837,978-1119803836,JOHN WILEY & SONS
PROJECT MANAGEMENT,Definitions & Who is involved; General management techniques; Project management techniques ;Critical Project management functions; Project life cycle management; Project sequence capability; Impact of project management on organisations,1138154776,978-1138154773,ROUTLEDGE
Project Management,"Intro; Title Page; Copyright; Preface; Contents; Chapter 1: Projects in Contemporary Organizations; 1.1 The Definition of a Project 1.2 Why Project Management 1.3 The Project Life Cycle; 1.4 The Structure of This Text; Project Management in Practice; A Unique Method for Traveler-Tracking at Copenhagen Airport; The Smart-Grid Revolution Starts in Boulder, Colorado; The Olympic Torch Relay Project; Turning London's Waste Dump into the 2012 Olympics Stadium; PART I: PROJECT INITIATION; Chapter 2: Strategic Management and Project Selection; 2.1 Organizational Project Management and Governance 2.2 Project Selection Models2.3 Project Portfolio Management (PPM); Project Management in Practice; Taipei 101: Refitted as World's Tallest Sustainable Building; Using a Project Portfolio to Achieve 100 percent On-Time Delivery at Decor Cabinet Company; Implementing Strategy through Projects at Blue Cross/Blue Shield; CASE: Pan-Europa Foods S.A.; READING: From Experience: Linking Projects To Strategy; Chapter 3: The Project Manager; 3.1 Project Management and the Project Manager; 3.2 Special Demands on the Project Manager; 3.3 Attributes of Effective Project Managers 3.4 Problems of Cultural DifferencesProject Management in Practice; The Project Management Career Path at AT A Surprise ""Director of Storm Logistics"" for Katrina; Shanghai Unlucky with Passengers; The Wreckmaster at a New York Subway Accident; Lawrence Gamache, Wreckmaster; Growing Stress at Twitter; Success at Energo by Integrating Two Diverse Cultures; CASE: The National Jazz Hall of Fame; READING: Juggling Act; Chapter 4: Managing Conflict and the Art of Negotiation; 4.1 Identifying and Analyzing Stakeholders; 4.2 Conflict and the Project Life Cycle; 4.3 Dealing with Conflict 4.4 The Nature of Negotiation4.5 Partnering, Chartering, and Scope Change; 4.6 Some Requirements and Principles of Negotiation; Project Management in Practice; Quickly Building a Kindergarten through Negotiation; Stakeholder Involvement at Nemours Children's Hospital; A Consensus Feasibility Study for Montreal's Archipel Dam; CASE: Negotiation in Action-The Quad Sensor Project; READING: Power of Persuasion; Chapter 5: The Project in the Organizational Structure; 5.1 Projects in a Functional Organization; 5.2 Projects in a Projectized Organization; 5.3 Projects in a Matrixed Organization 5.4 Projects in Composite Organizational Structures5.5 Selecting a Project Form; 5.6 The Project Management Office; 5.7 The Project Team; 5.8 Human Factors and the Project Team; Project Management in Practice; Reorganizing for Project Management at Prevost Car; Software Firm Yunio Avoids Complex Technologies; Trinatronic, Inc.; A Project Management Office Success for the Transportation Security Administration; South African Repair Success through Teamwork; CASE: Acorn Industries; READING: Four Steps To A Stronger PMO; PART II: PROJECT PLANNING",1119369088,978-1119369080,New York : Wiley
Project management,"Information resources management Handbooks, manuals, etc.Information technology  Management manuals, etc. BUSINESS & ECONOMICS  Industrial Management. BUSINESS & ECONOMICS Management. BUSINESS & ECONOMICS  Management Science. BUSINESS & ECONOMICS Organizational Behavior. Information resources management. Information technology Management.30 Disaster Recovery Planning Tools and Management Options 31 Reengineering Methodologies and Tools 32 Controlling Major Systems Integration Projects 33 An Object-Oriented Strategy for Reintegrating IS into Mainstream Management 34 Economic Evaluation of Data Warehouse Projects SECTION V: MEASURING AND IMPROVING PROJECT MANAGEMENT SUCCESS 35 Evaluating Project Performance 36 Completing Projects Successfully 37 Creating and Implementing a Balanced Measurement Program 38 Negotiating Conditions for Project Success 39 Continuous Process Improvement in Systems Development 40 Assessing and Improving the Software Development Process 41 Improving Productivity Strategically and Tactically About the Editor",203710738,978-0203710739,"Boca Raton : CRC Press, Taylor & Francis Group"
Organizational project management maturity model,"Project management  Standards. Project management.Title Page; Copyright Page; Table of Contents; List of Tables and Figures; 1. Overview; 1.1 Introduction; 1.2 Purpose of OPM3; 1.3 What is OPM 1.3.1 Relationship of OPM and Organizational Strategy; 1.3.2 The Relationships among Portfolios, Programs, and Projects; 1.4 What is OPM3?; 1.5 Relationships among Portfolio Management, Program Management, Project Management, and Organizational Project Management; 1.5.1 Portfolio Management; 1.5.2 Program Management; 1.5.3 Projects and Strategic Planning; 1.5.4 Project Management Office; 1.5.5 Project-Based Organizations. 1.5.6 Organizational Issues and Project Management1.6 Business Value; 1.7 Stakeholders; 1.7.1 OPM3 Practitioner Knowledge and Skills; 2. Foundational Concepts; 2.1 Organizational Project Management Described; 2.2 Investing in OPM; 2.3 Organizational Life Cycles; 2.4 Organizational Project Management Maturity Model; 2.4.1 What is the Organizational Project Management Maturity Model?; 2.4.2 How to Use OPM3; 3. The Organizational Project Management Maturity Model (OPM3); 3.1 Introduction; 3.2 The OPM3 Construct; 3.2.1 Best Practice; 3.2.2 Capability; 3.2.3 Outcome; 3.2.4 Domains. 3.2.5 Process Improvement Stages3.2.6 Organizational Enablers; 3.2.7 Categorization; 3.3 OPM3 Framework; 3.3.1 OPM3 Areas of Expertise; 3.3.2 OPM3 Cycle Elements; 3.4 OPM3 Application; 3.5 OPM3 Scoring Methods; 3.6 OPM3 Best Practices List; 4. Acquire Knowledge; 4.1 Understand OPM; 4.1.1 Understand OPM: Inputs; 4.1.2 Understand OPM: Tools and Techniques; 4.1.3 Understand OPM: Outputs; 4.2 Understand Organization; 4.2.1 Understand Organization: Inputs; 4.2.2 Understand Organization: Tools and Techniques; 4.2.3 Understand Organization: Outputs; 4.3 Assess Change Readiness. 4.3.1 Assess Change Readiness: Inputs4.3.2 Assess Change Readiness: Tools and Techniques; 4.3.3 Assess Change Readiness: Outputs; 5. Perform Assessment; 5.1 Establish Plan; 5.1.1 Establish Plan: Inputs; 5.1.2 Establish Plan: Tools and Techniques; 5.1.3 Establish Plan: Outputs; 5.2 Define Scope; 5.2.1 Define Scope: Inputs; 5.2.2 Define Scope: Tools and Techniques; 5.2.3 Define Scope: Outputs; 5.3 Conduct Assessment; 5.3.1 Conduct Assessment: Inputs; 5.3.2 Conduct Assessment: Tools and Techniques; 5.3.3 Conduct Assessment: Outputs; 5.4 Initiate Change; 5.4.1 Initiate Change: Inputs. 5.4.2 Initiate Change: Tools and Techniques5.4.3 Initiate Change: Outputs; 6. Manage Improvement; 6.1 Create Recommendations; 6.1.1 Create Recommendations: Inputs; 6.1.2 Create Recommendations: Tools and Techniques; 6.1.3 Create Recommendations: Outputs; 6.2 Select Initiatives; 6.2.1 Select Initiatives: Inputs; 6.2.2 Select Initiatives: Tools and Techniques; 6.2.3 Select Initiatives: Outputs; 6.3 Implement Improvement Initiatives; 6.3.1 Implement Improvement Initiatives: Inputs; 6.3.2 Implement Improvement Initiatives: Tools and Techniques; 6.3.3 Implement Improvement Initiatives: Outputs.",1628250305,978-1628250305,"Newtown Square, Pennsylvania : Project Management Institute"
"EFFECTIVE PROJECT MANAGEMENT : traditional, agile, extreme",Management. Project management.Chapter 1 What Is a Project? 3 Chapter 2 What Is Project Management? 23 Chapter 3 What Is Strategic Project Management? 63 Chapter 4 What Is a Collaborative Project Team? 91 Chapter 5 What Are Project Management Process Groups? 115 Part II Traditional Project Management 151 Chapter 6 How to Scope a TPM Project 153 Chapter 7 How to Plan a TPM Project 191 Chapter 8 How to Launch a TPM Project 263 Chapter 9 How to Execute a TPM Project 313 Chapter 10 How to Close a TPM Project 343 Part III Complex Project Management 353 Chapter 11 Complexity and Uncertainty in the Project Landscape 355 Chapter 12 Agile Complex Project Management Models 381 Chapter 13 Extreme Complex Project Management Models 393 Chapter 14 Hybrid Project Management Framework 405 Chapter 15 Comparing TPM and CPM Models 453 Appendix A Terms and Acronyms 537 Appendix B Case Study: Workforce and Business Development Center 543 Appendix C Case Study: Pizza Delivered Quickly ( PDQ ) 557 Appendix D Cited References 561 Appendix E What's on the eiipbs.com Website?,1119562805,978-1119562801,JOHN WILEY & Sons
Project management,"Management.Chapter 1. Concepts of Project Management Chapter 2. Establishing the Project: Scope, Time, Cost and Performance Goals Chapter 3. Organizing Human Resources and Contracting Chapter 4. Organizing Systems and Procedures for Project Implementation Chapter 5. Project Direction, Co-ordination and Control Chapter 6. Project Management Performance",74600680,978-0074600689,"New Delhi, India : Tata McGraw-Hill"
