title ,description ,ISBN10,ISBN13,publisher
Research methodology,"Research  Methodology. Probabilities. Research Statistical methods. Technical writingCovers various facets of the research process, from finding a topic to disseminating the results. This title includes subject that is placed in the context of the academic scene and research needs in South Africa, and methodologies discussed include traditional modes of inquiry, research technology.Introduction; Getting Started; Data & Designs; Statistics in Research; Research Writing; Broader Issues in Research; Reference; Appendices.",702156604,978-0702156601,Juta & Co
Research Methodology,"Mathematics. Research Methodology. Science.This book offers a standardized approach for research aspirants working in the various areas. At the same time, all the major topics in social research have also been detailed thoroughly which makes this book a very good frame of study for students and researchers in diverse fields. This book charts new and evolving terrain of social research by covering qualitative, quantitative and mixed approach. The chapters has extensive number of case studies that help researchers to understand practical implications of the research and includes plenty of diagrammatic representations for easy understanding of various theories and procedures. Each phase of research is explained in detail so that even beginners can also effectively utilize this book. It is written in a highly interactive manner, which makes for an interesting read. Templates of technical report, business report and research reports are also included in the book. This provides the reader with a hands-on experience. ",935306709X,978-9353067090,Pearson Education India
Second language research : methodology and design,"ContentsPreface1.Introduction to Research1.1Research Methods1.2Different Types of Research1.3Ethical Practices1.3.1Informed Consent1.3.1.1Sufficient Information1.3.1.2The Informed Consent Document1.3.1.3Participant Comprehension in Informed Consent1.3.1.4The Language of Informed Consent1.3.1.5Voluntary Participation and Informed Consent1.3.2Child Second Language Learners1.3.3Issues Involved in Collecting Data Online 1.3.4 WEIRD Populations 1.3.5 Reporting and Anonymity1.4Institutional Review of Human Participants Research, Compliance, and Problem-Solving 1.4.1 Purpose of Reviews and IRB Responsibilities 1.4.2 Why Guidelines to Protect Human Subjects Were Developed 1.4.3 Development of Research Codes of Ethics1.4.4 Preparing a Protocol for the IRB1.4.5General Use of Protocols in Research 1.5 ConclusionPoints to RememberMore to Do and More to Think About Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About 2.Research Reporting, Research Questions, and Replication 2.1 What Does a Research Report Look Like 2.1.1 Quantitative Reporting 2.1.1.1 Title Page 2.1.1.2 Abstract 2.1.1.3 Introduction 2.1.1.4 Historical Overview 2.1.1.5 Major Players in this Research Area, Including Questions, Past Findings, and Controversies 2.1.1.6 General Goal of the Paper 2.1.1.7 Research Questions Hypotheses 2.1.1.8 Methods Section 2.1.1.9 Participants 2.1.1.10 Materials 2.1.1.11 Procedures 2.1.1.12 Analysis 2.1.1.13 Results 2.1.1.14 Discussion Conclusion 2.1.1.15 Notes 2.1.1.16 References 2.1.1.17 Appendices 2.1.2 Qualitative Reporting 2.1.3 Mixed-Method Reporting 2.2 Identifying Research Questions 2.2.1 Feasibility2.2.2Research Questions and Hypotheses2.3Replication2.4ConclusionPoints to RememberMore to Do and More to Think About ...Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About 3.Common Data Collection Measures 3.1 Introduction 3.2 The Significance of Data Collection Measures 3.3 Researching Formal Models of Language 3.3.1 Acceptability Judgments3.3.1.1Materials3.3.1.2Procedures3.3.2Gradient Judgments: Magnitude Estimation3.3.3Elicited Imitation3.3.4Interpretation Tasks3.4Psycholinguistics-Based Research3.4.1Sentence Interpretation3.4.2Reaction Time3.4.3Self-Paced Reading3.4.4Eye-Tracking3.4.5Neurolinguistic Elicitation3.5Interaction-Based Research3.5.1Picture Description Tasks 3.5.2 Spot the Difference 3.5.3 Jigsaw Tasks 3.5.4 Consensus Tasks 3.5.5 Consciousness-Raising Tasks 3.5.6 Computer-Mediated Research 3.6 Strategies and Cognitive Processes3.6.1Observations3.6.2Introspective Measures3.6.2.1Stimulated Recall3.6.2.2Think-Alouds or On-Line Tasks3.6.2.3Immediate Recalls3.7Sociolinguistic/Pragmatics-Based Research3.7.1Naturalistic Settings3.7.2Elicited Narratives3.7.2.1Silent Film3.7.2.2Film Strips with Minimal Sound3.7.2.3Picture Tasks3.7.2.4Narrative Inquiry3.7.3Discourse Completion Test (DCT)3.7.4Role Plays3.7.5Video Playback for Interpretation3.8Questionnaires and Surveys3.9Existing Databases3.10Pilot Testing3.11ConclusionPoints to RememberMore to Do and More to Think About ...NotesSample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...4.Coding4.1Preparing Data for Coding4.1.1Transcribing Oral Data4.1.1.1Transcription Conventions4.1.1.2Technology and Transcription4.2Data Coding4.2.1Scales of Measurement4.2.2Coding Nominal Data4.2.3Coding Ordinal Data4.2.4Coding Interval Data4.3Coding Systems4.3.1Common Coding Systems and Categories4.3.1.1T-Units4.3.1.2Suppliance in Obligatory Contexts (SOC)4.3.1.3Complexity, Accuracy, and Fluency (CAF)4.3.1.4Qualitative Coding Categories4.3.2Custom-Made Coding Systems4.3.2.1Question Formation4.3.2.2Corrective Feedback4.3.2.3Classroom Interaction4.3.2.4Second Language Writing Research4.3.3Coding Interpretive and Qualitative Data4.4Inter-Rater Reliability4.4.1Calculating Inter-Rater Reliability4.4.1.1Simple Percentage Agreement4.4.1.2Cohen's Kappa4.4.1.3Additional Measures of Reliability4.4.1.4Good Practice Guidelines for Inter-Rater Reliability4.4.1.5How Data Are Selected for Inter-Rater Reliability Tests4.4.1.6When to Carry out Coding Reliability Checks4.5The Mechanics of Coding4.5.1How Much to Code?4.5.2When to Make Coding Decisions4.6Software for Coding4.7ConclusionPoints to RememberMore to Do and More to Think About ...Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...5.Research Variables, Validity, and Reliability5.1Introduction5.2Hypotheses5.3Variable Types5.3.1Independent and Dependent Variables5.3.2Moderator Variables5.3.3Intervening Variables5.3.4Control Variables5.4Operationalization5.5Validity5.5.1Content Validity5.5.2Face Validity5.5.3Construct Validity5.5.4Criterion-Related Validity5.5.5Predictive Validity5.5.6Internal Validity5.5.6.1Participant Characteristics5.5.6.2Language Background5.5.6.3Language Learning Experience5.5.6.4Proficiency Level5.5.6.5Participant Attrition5.5.6.6Participant Inattention and Attitude5.5.6.7Participant Maturation5.5.6.8Data Collection: Location and Collector5.5.6.9Instrumentation and Test Effect5.5.6.10Equivalence Between Pre- and Posttests5.5.6.11Giving the Goal of the Study Away5.5.6.12Instructions/Questions5.5.7External Validity5.5.7.1Sampling5.5.7.2Random Sampling5.5.7.3Nonrandom Sampling5.5.7.4Representativeness and Generalizability5.5.7.5Collecting Biodata Information5.6Reliability5.6.1Rater Reliability5.6.2Instrument Reliability5.6.2.1Test-Retest5.6.2.2Equivalence of Forms5.6.2.3Internal Consistency5.7ConclusionPoints to RememberMore to Do and More to Think About ...NotesSample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...6.Designing a Quantitative Study6.1Introduction6.2Research Materials6.3Intact Classes6.4Counterbalancing6.5Research Design Types6.5.1Correlational (Associational) Research6.5.2Experimental and Quasi-Experimental Research6.5.2.1Comparison Group Design6.5.2.2Control Group Design6.5.3Measuring the Effect of Treatment6.5.3.1Pretest/Posttest Design6.5.3.2Posttest Only Design6.5.4Repeated Measures Design6.5.5Factorial Design6.5.6Time-Series Design6.5.7One-Shot Designs6.5.8Research Syntheses and Meta-Analyses6.6ConclusionPoints to RememberMore to Do and More to Think About ...NoteSample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...7.Qualitative and Interpretive Research7.1Defining Qualitative and Interpretive Research7.2Gathering Qualitative and Interpretive Data7.2.1Ethnographies7.2.1.1Advantages7.2.1.2Caveats7.2.2Case Studies7.2.2.1Advantages7.2.2.2Caveats7.2.3Interviews7.2.3.1Advantages7.2.3.2Caveats7.2.4Observations7.2.4.1Advantages7.2.4.2Caveats7.2.5Diaries/Journals7.2.5.1Advantages7.2.5.2Caveats7.3Analyzing Qualitative Data7.3.1Credibility, Transferability, Confirmability, and Dependability7.3.2Triangulation7.3.3The Role of Quantification in Qualitative and Interpretive Research7.4ConclusionPoints to RememberMore to Do and More to Think About ...NoteSample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...8.Classroom Research8.1Classroom Research Contexts8.2Common Techniques for Data Collection in Classroom Research8.2.1Observations8.2.1.1Conducting Classroom Observations8.2.1.2Observation Procedures and Coding Schemes8.2.1.3Description of Observation Schemes8.2.1.4Caveats to Using or Modifying Existing Observation Schemes8.3Introspective Methods in Classroom Research8.3.1Uptake Sheets8.3.2Stimulated Recall8.3.3Diary Research in Classroom Contexts8.4Practical Considerations in Classroom Research8.4.1Logistical Issues to Consider When Carrying out Classroom Research8.4.2Logistics8.4.2.1Informed Consent8.4.2.2Debriefing Participants and Facilitators8.4.2.3Ensuring Confidentiality and Minimizing Disruption8.4.2.4Data Segmentation and Coding8.4.2.5Considering the Instructional Setting8.4.2.6Summary of Logistics8.5Purposes and Types of Research Conducted in Classroom Settings8.5.1The Relationship between Instruction and Learning in Second Language Classrooms8.5.2Action Research8.5.2.1Definitions8.5.2.2Theory and Background to Action Research8.5.2.3Action Research in Practice8.5.3Aptitude-Treatment Interaction8.5.4Getting Your Footing in the Literature8.6ConclusionPoints to RememberMore to Do and More to Think About ...Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...9.Mixed Methods9.1Introduction9.2What Are Mixed Methods?9.3Why Use Mixed Methods?9.4Types of Mixed-Methods Studies9.4.1 Concurrent Mixed-Methods9.4.2. Sequential Mixed-Methods 9.5 Conducting a Mixed-Methods Study9.5.1Deciding Whether or Not to Conduct a Mixed-Methods Study 9.5.2 Planning Phase 9.6 Analyzing Data from a Mixed-Methods Study 9.7 Software for Analysis9.8ConclusionPoints to RememberMore to Do and More to Think About ...Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About...10.Concluding and Reporting Research 10.1 The Importance of Reporting Research 10.2 The Final Stages in Reporting Quantitative Research 10.2.1 The Discussion 10.2.2 Limitations, Future Research, and Conclusion Sections 10.3 The Final Stages in Reporting Qualitative Research 10.4 Reporting Mixed-Methods Research 10.5 Checklist for Completing Reports of Research 10.5.1 The Research Problem and Questions 10.5.2 The Research Hypotheses 10.5.3 The Audience 10.5.4 The Abstract 10.5.5 The Literature Review 10.5.6 The Design of the Study 10.5.7 Logistics 10.5.8 Participants 10.5.9 Data Gathering 10.5.10 Data Analysis 10.5.11Conclusions10.5.12References10.5.13Footnotes, Endnotes, Figures, and Tables10.5.13.1 Footnotes and Endnotes 10.5.13.2 Figures10.5.13.3 Tables 10.5.14 Author's Note Acknowledgments 10.5.15 Post-Research Concerns 10.5.16 Final Touches and Formatting 10.6 Open Science 10.7 ConclusionPoints to RememberMore to Do and More to Think About Sample Responses: Time to Think & Time to DoSample Responses: More to Do and More to Think About GlossaryReferencesSubject IndexSecond Language Research: Methodology and Design is a clear, comprehensive overview of cure issues in L2 research. Authored by well-known scholars in SLA and supported by a wealth of examples from actual studies and extensive pedagogical resources, this book first introduces students to the key topics and debates in L2 research. It then guides readers step-by step through the research process - from basic principles and collection methods through study design, and reporting - to the point of being able to conduct their own research from beginning to end. This book is an essential text for students and novice researchers of SLA, applied linguistics, and second and foreign language teaching. Key Features: a wealth of graphics, visuals and exercises in each chapter. ""Time to think"" and ""Time to do"" boxes within chapters ; helpful glossary and extensive author and subject indices New to This Edition: Substantially reorganized chapters; significantly expanded chapters on qualitative and mixed methods ; Substantive revised material on computer/technology-based research ; discusses a variety of new software packages and databases, including video-mediated technology and games; discusses the Open Science Movement ; expanded coverage of corpora, processing, and psycholinguistics-based research; updated references throughout",1032040327,978-1032040325,Routledge
Research methodology,"Types of research Research design Scientific method, hypotheses, data collection, sampling Methods of research--historical, descriptive, case study, survey, comparative and experimental Statistical methods, data analysis Report writing Bibliometrics.The ten books presented here in 10 Pillars of Library and Information Science are designed in accordance with the needs of knowledge seekers of LIS, especially those preparing for competitive examinations. Based on research conducted in India, these books cover all areas of LIS, while keeping in view the syllabi of various competitive examinations. Along with multiple choice questions (MCQs), the books contain solved question papers of almost all national and state level examinations held around the country of India in preceding years. *** Pillar 10: Research Methodology - In this Pillar, MCQs based on research concepts, types, research design, and scientific methods of research are given. MCQs on hypothesis, data collection techniques, sampling, and its methods are also offered. Methods of research - such as historical, descriptive, case study, survey, comparative, experimental, and statistical focused - are incorporated in this Pillar, along with MCQs on bibliometrics and its laws.",8170007720,978-8170007722,Ess Ess Publications
Research methodology,"Dissertations, Academic Probabilities Research Methodology. Report writing. Technical writing.Introduction The nature of science: historical case studies Ethic and good practice in research Searching the literature Your research proposal Doing research Numerical measurements Units and dimensions The english language Reporting results Notes on logic Curve fitting with polynomials Fitting formulas to data: more examples Probability and sampling Error analysis Dynamic systems modeling The dynamic response of instruments.",9744566582,978-9744566584,King Mongkut's University of Technology Thonburi
Research methodology : methods and techniques,Research methodology: an introduction; Defining the research problem; Research design; Design of sample surveys; Measurement and scaling; Data collection; Data preparation; Descriptive statistics; Sampling and statistical inference; Testing of hypothesis; Chi-square tests; Analysis of variance; Other nonparametric methods; Linear regression analysis; Factor analysis; Discriminant analysis; Cluster analysis; Other multivariate techniques; Interpretation and report writing.This fourth edition has been made better-equipped to make the learning more systematic. More details are added to old chapters keeping in mind the need for advanced data analysis in social science research. The use of the popular statistical package SPSS has also been shown through many examples. It is important to adopt an appropriate methodology in quality research. The present book provides basic and advanced level discussion on research methodology so that researchers may become familiar with the art of using research methods and techniques. The book is intended to serve as a textbook for social science students and graduate and postgraduate level.,9386649225,978-9386649225,New Delhi : New Age International (P) Limited
Introducing Research Methodology,Part I: OrientationChapter 1: Why Social Research Chapter 2: Worldviews in Social ResearchChapter 3: Ethical Issues in Social ResearchChapter 4: From Research Idea to Research QuestionPart II: Planning and DesignChapter 5: Reading and Reviewing the LiteratureChapter 6: Steps in the Research ProcessChapter 7: Designing Social ResearchPart III: Method SelectionChapter 8: Deciding on Your MethodsChapter 9: Triangulation and Mixed MethodsPart IV: Working with DataChapter 10: Using Existing DataChapter 11: Collecting DataChapter 12: Analyzing DataPart V: Reflection and WritingChapter 13: What is Good Research? Evaluating Your Research ProjectChapter 14: Writing up Research and Using Results,1529717310,978-1529717310,SAGE Publications
Research Methodology,Cover Halftitle Page Title Page Copyrights Page Dedication Contents Foreword Preface 1. Research Methodology:An Introduction 2. Research Process 3. Hypothesis and Variables 4. Research Design and Sample Design 5. Data Collection 6. Three Guiding Principles in Research 7. Participatory Evaluation 8. Processing and Analysis of Data 9. Interpretation and Research Writing 10. Reference Materials Appendix Bibliography,9351288471,978-9351288473,Kalpaz Publications
Research Methodology,Cover; Contents; 1: Basic of Research; 2: Quantitative Research Methodology; 3: Research Processes; 4: Research Methods; 5: Marketing Research; 6: Research Experiment; 7: Data Collection; 8: Correlation Coefficient.,1644529505,978-1644529508,US : Tritech Digital Media
Doing your research project : a guide for first-time researchers,"Education  Research. Education  Research Methodology. Social sciences Research Health  Research Methodology. Independent study. Social sciences. Questionnaires. Writing. Social Sciences Surveys and Questionnaires Research Design Writing Interviews Sciences sociales Recherche.Sciences sociales  questionnaires. writing (processes)
Society. Sociaalwetenschappelijk onderzoek. Gezondheid. Onderwijs.Methodologie.The Researcher and the Research JourneyApproaches to ResearchEthics and Integrity in ResearchReading, Referencing and the Management of InformationLiterature SearchingThe Review of the LiteratureThe Analysis of Documentary EvidenceUsing Social Media in ResearchDesigning and Administering QuestionnairesPlanning and Conducting InterviewsDiaries, Logs, Critical Incidents and BlogsObservationInterpreting the Evidence and Reporting the FindingsWriting the Report",033524338X,978-0335243389,"London : Open University Press, McGraw-Hill Education"
