title ,description ,ISBN10,ISBN13,publisher 
Managing technological innovation : Brian C. Twiss,"The process of technological innovation; strategies for research and development; technology capture, creativity, and problem solving; project selection and evaluation; financial evaluation of research anddevelopment projects; research and development programme planning and control; organisation forinnovation; technology forecasting for decision making.This fourth edition has been revised and amended to incorporate the findings of the growing body of research into this aspect of management. The text presents the case for maintaining an effective research and development programme geared to maximum flexibility and outlines the factors involved.",273037951,978-0273037958,London : Pitman
Managing technological innovation,Technological innovations  Management. Manufacturing processes Technological innovations Management. New products. Technological innovations Management Manufacturing processes Technological innovations Management New products,1555420087,978-1555420086,"San Francisco, Calif. : Jossey-Bass"
Generating technological innovation,Technologiemanagement. Innovationsmanagement. STRATEGISCHE UNTERNEHMENSFUEHRUNG BETRIEBSWIRTSCHAFT INNOVATIONTECHNOLOGICAL AND SCIENTIFIC INNOVATION TECHNOLOGY MANAGEMENT STRATEGIC MANAGEMENT BUSINESS ECONOMICS DIRECTION STRATEGIQUE MANAGEMENT STRATEGIQUE GESTION D ENTREPRISE,195050231,978-0195050233,New York : Oxford University Press
Technological innovation : oversights and foresights,"High technology industries Management. Technological innovations.Part I. Introduction: 1. Technological learning, oversights and foresights: an overview Raghu Garud, Praveen Nayyar and Zur Shapira; Part II. Learning to Flip Coins: 2. On flipping coins and making technology choices: luck as an explanation of technological foresight and oversight Jay Barney; 3. Technological choices and the inevitability of errors Raghu Garud, Praveen Nayyar and Zur Shapira; 4. Rational entrepreneurs or optimistic martyrs? Some considerations on technological regimes, industrial dynamics, and the evolutionary role of decision biases Giovanni Dosi and Dan Lovallo; Part III. Tailoring Fits: 5. Cognition and capabilities: opportunities seized and missed in the history of the computer industry Richard Langlois; 6. Changing the game of corporate research: learning to think in the fog of reality John Seeley Brown; 7. Environmental determinants of work motivation, creativity and innovation: the case of R&D downsizing Teresa Amabile and Regina Conti; Part IV. Remembering to Forget: 8. Local rationality, global blunders, and the boundaries of technological choice: lessons from IBM and DOS Joseph Porac; 9. Of life cycles real and imaginary Rebecca Henderson; 10. Three faces of organizational learning: wisdom, inertia, and discovery Dan Levinthal; 11. Organizational entrepreneurship in mature industry firms: foresight, oversight and invisibility Mariann Jelinek; 12. Minimizing technological oversights: a marketing research perspective Jehoshua Eliashberg, Gary L. Lilien and Vithala R. Rao; Part V. (S)top Management and Culture: 13. Firm capabilites and managerial decision-making: a theory of innovation biases, Janet Bercovitz, John Figueiredo and David Teece; 14. Organizational responsiveness to environmental shock as an indicator of organizational foresight and oversight: the role of executive team characteristics and organizational context Peter Murmann and Michael Tushman; 15. Technological innovation, learning and leadership Andrew H. Van de Ven and David Grazman; 16. Risky lessons: conditions for organizational learning Baruch Fischhoff, Zvi Lanir and Stephen Johnson; 17. Exploiting enthusiasm: a case study of applied theories of innovation Gideon Kunda; Part VI. Clearing the Fog: 18. Beating the odds: towards a theory of technological innovation Raghu Garud, Praveen Nayyar, and Zur Shapira. The capacity for technology businesses to grow and change with the times is linked to how these businesses develop and market technological innovations. Despite the importance of technological changes for corporate vitality, there are documented instances of corporations failing to capitalize on technological opportunities. Innovation outcome is contingent upon a match between a firm's internal capabilities and its external context. Technological Innovation addresses specific ways in which the slim odds of corporate success can be enhanced. It analyzes why companies choose certain new technologies, from a technological, economic, and institutional perspective. Based on multidisciplinary research on technological choice, the book bridges research and practice to provide an enlightening and practical study",521084725,978-0521084727,Cambridge : Cambridge University Press
Technological Innovation : Generating Economic Results,"Technological innovations Economic aspects. Business enterprises  Finance.Front Cover; Technological Innovation: Generating Economic Results (2nd Edition); Copyright Page; Contents; List of Contributors; Preface; Introduction; Section I: The Fundamentals of Technology Commercialization; Chapter 1 Appropriability Strategies to Capture Value from Innovation; Introduction; Appropriability Regime and Complementary Assets: The Teece Framework; Interaction between Appropriability Regime and Complementary Assets; Appropriability Regime, Complementary Assets, and Commercialization Strategies; Profiting from Innovation: Empirical Evidence. Degree of Appropriability and Inter-Industry Differences: Empirical EvidenceQuantifying the Returns Provided by Patent Strategies; The Two Faces of Appropriability: Protection versus Incentives; Conclusion; Notes; Acknowledgments; References; Chapter 2 Identifying and Evaluating Market Opportunities; Introduction; What is a ""Market""?; Innovation, Technology, and Markets; Technology Push and Market Pull; New/Familiar Technologies and New/Familiar Markets; From Breakthroughs to Sustaining Innovation; Recognizing Opportunities; Evaluating Ideas; Market Analysis. The Five Forces that Drive Industry ProfitabilityPolitical, Economic, Social, Technological (PEST) Analysis; Strengths, Weaknesses, Opportunities, and Threats (SWOT); Case Studies; FloMera; Syzygy; Conclusion; Notes; Acknowledgments; References; Chapter 3 The Benefits and Liabilities of Multidisciplinary Commercialization Teams: How Professional Composition and Social Networks Influence Team Processes; Introduction; Team Composition; Professional Composition; Social Composition: Informal Ties outside the Team; Team Processes; Conflict; Identification. Cohesion: Informal Network Ties within the TeamCommunication Task-Focused Interaction; Conclusion; References; Section II: Legal and Regulatory Environments; Chapter 4 Introduction to Legal Means for Protecting Intellectual Property; Introduction; What is Intellectual Property; Patents; Advantages and Disadvantages of Patents; International Considerations for Patents; Patents in the United States; Patents in Europe; Patents in Japan; Copyrights; Advantages and Disadvantages of Copyrights; International Considerations for Copyrights; Copyrights in the United States; Copyrights in Europe. Copyrights in JapanTrademarks; Advantages and Disadvantages of Trademarks; International Considerations for Trademarks; Trademarks in the United States; Trademarks in Europe; Trademarks in Japan; Trade Secrets; Advantages and Disadvantages of Trade Secrets; International Considerations for Trade Secrets; Trade Secrets in the United States; Trade Secrets in Europe; Trade Secrets in Japan; Designs; Advantages and Disadvantages of Design Protection; International Considerations for Designs; Designs in the United States; Designs in Europe; Designs in Japan.",1786352370,978-1786352378,"Bradford, West Yorkshire : Emerald Group Publishing Limited"
Technological Innovation Perceptions and Definitions,"Academic libraries  Aims and objectives. Research libraries  Aims and objectives. Technological innovations. Academic libraries  Aims and objectives Research libraries  Aims and objectives Technological innovationsEveryone agrees that innovation is a worthy aim, but what does innovation actually entail? And what does it mean for a library organization? For this issue of Library Technology Reports, Jason Vaughan reviewed professional literature, both scholarly and mainstream, and surveyed library directors to learn their views on how technological innovation is impacting today's libraries. Identifying common threads from a mix of perspectives, his findings provide clarity on the subject as well as an ideal way for readers to begin a discussion at their own organization. Gathering a range of insights about technological innovation, Vaughan presentsA summary of General Electric's GE Global Innovation BarometerPhrases and words common to job ads referencing innovationCriteria of awards for technological innovationAnalysis, charts, and graphs of responses to a 10-question survey of research library directors.",838959059,978-0838959053,Chicago American Library Association
Technological innovation strategy and management,"Technological innovations Management. Strategic planning.Technological Innovation: Strategy and Management offers a comprehensive analysis of technological innovation management from a strategic and integrated approach. The book covers the most relevant topics on the discipline of Innovation Management, such as the conceptual framework for innovation and technology, the study of innovation sources, the strategic management of innovation and technology, innovation enablers organization, leadership, culture, human capital, creativity and learning innovation outcomes (product and process innovation), and the evaluation and control of the innovation process. It particularly highlights the role of innovation and technology to build sustainable competitive advantages. The book references the most relevant and updated research work in this realm. This can be helpful for researchers, scholars and practitioners who want to have an updated guide on the state-of-the-art technological innovation management Publisher's website. Understanding innovation and technology : key definitions and concepts Innovation as a process  Sources of innovation : a strategic view Strategic management of technology and innovation Organization, leadership, and culture Human capital, creativity, and learning Innovation in processes  The development of new products Effects of innovation on the firm performance.",9811211469,978-9811211461,Singapore World Scientific
Technological Innovation and Economic Performance,"1 Introduction and Overview 2 Innovation in an Historical Perspective: Tales of Technology and Evolution Part II COUNTRY STUDIES 3 The United States 4 Japan 5 Germany 6 France 7 The United Kingdom 8 The Nordic Countries Part III INDUSTRY STUDIES 9 The Internet 10 Computers and Semiconductors 11 Banking and Financial Intermediation 12 Securities Trading 13 Venture Capital 14 Pharmaceutical Biotechnology 15 Agricultural Biotechnology 16 Electric Power 17 Automobiles Information technology accounts for over one-third of recent U.S. GDP growth and nearly two-thirds of corporate capital investment. ''The New Economy'' appears omnipresent, but little is actually known about its workings.This seminal volume brings together the research and critical thinking of many of the world's top macro and micro economists to provide a unique, multifaceted perspective. Through the use of detailed, up-to-date country and industry studies, this book provides the most authoritative and detailed analysis ever assembled into the causes of technological innovation and its relationship to economic performance. The country studies cover the United States, Japan, Germany, France, the United Kingdom, and the Nordic states. Nine industry studies examine the Internet, computers and semiconductors, banking, securities trading, venture capital, energy, agricultural biotechnology, pharmaceutical biotechnology, and automobiles.Commissioned and brought together for the research project by the world-renowned Council on Foreign Relations, the authors have produced one of the most important compendia in applied economics to be published in recent times.The contributors are Charles Calomiris, Ian Domowitz, Robert Evenson, Charles Fine, Robert Gordon, Richard Langlois, Josh Lerner, Markku Malkamäki, Patrick Messerlin, Joel Mokyr, David Mowery, Richard R. Nelson, Stephen Nickell, Gary Pisano, Adam Posen, Daniel Raff, Horst Siebert, Timothy Simcoe, Benn Steil, Michael Stolpe, John Van Reenen, David Victor, and Matti Virén.",1400824877,978-1400824878,"Princeton, NJ : Princeton University Press"
Technological Innovation : an Intellectual Capital Based View,"List of Figures; List of Tables; Acknowledgements; Foreword; Introduction; 1 Theoretical Framework; 2 Firms' Intellectual Capital; 3 Technological Innovation; 4 The Role of Intellectual Capital in Technological Innovation; 5 Methodology; 6 Research Results; 7 Conclusions, Limitations and Future Research; References; Appendices; Index.Focusing on innovation management, the authors explore the role of knowledge stocks or intellectual capital blocks such as human, social, technological, organizational and regional capitals, on technological innovation process typologies and firm performance, absorptive capabilities and organizational learning.",230296092,978-0230296091,Basingstoke : Palgrave Macmillan
"Environmental policy, technological innovation and patents","Table of Contents; List of Acronyms; Executive Summary; Chapter 1. Environmental Policy, Technological InnovatIon and Patent Activity; Chapter 2. Environmental Regulation and International Innovation in Automotive Emissions Control Technologies; Chapter 3. Policy Versus Consumer Pressure: Innovation and Diffusion of Alternative Bleaching Technologies in the Pulp Industry; Chapter 4. Renewable Energy Policies and Technological Innovation: Energy Source and Instrument Choice; Chapter 5. Policy Conclusions and Further WorkThis report presents three case studies to illustrate the relationship between environmental policy and technological innovation. The case studies cover abatement technologies for wastewater effluent from pulp production, abatement of motor vehicle emissions, and development of renewable energy technologies. On the basis of patent data, the nature, extent, and causes of innovation in each of these areas have been explored. While a particular focus has been placed on the role of environmental policy in bringing about the innovation documented, it is recognised that other factors play a key rol",1281922064,978-1281922069,Paris : OECD
