title ,description ,ISBN10,ISBN13,publisher 
Foundations of financial management,"Corporations FinanceFirst of all the field of finance has become much more analytical with the emphasis on decision-oriented approaches to problems rather than the old descriptive approach We have increased the use of analytical approaches to financial problems in virtually every chapter of the book But we also have stayed with our basic mission of making sure students are able to follow us in our discussions throughout the text While the 18th edition is considerably more sophisticated than the initial edition it is still extremely reader friendly As the analytical skills demanded of students have increased, so has the authors care in presenting the material The use of spreadsheets and calculators has become considerably more important and this is also reflected in the 18th edition where we have added Excel tables and calculator keystroke solutions within key chapters We offer Web Exercises at the end of every chapter URL citations throughout the text a library of course materials for students and faculty computerized testing software and PowerPoiny for the faculty McGraw Hill Connect an online assignment and assessment solution and SmartBook a truly innovative adaptive study tool and eBook",1266040919,978-1266040917,New York McGraw Hill LLC
Financial management,Corporations  Finance Financial Management Finanzierung Investitionsentscheidung Aufsatzsammlung Aufsatzsammlung Finanzierung Investitionsentscheidung Business firms  Financial managementch 9New framework for corporate debt policy Gordon Donaldson ch 10. Strategy for financial emergencies Gordon Donaldson ch11 How much debt is right for your company Thomas R Piper and Wolf A Weinhold ch 12 Is your stock worth its market price Thomas r Piper and William E Fruhan Jr ch18 Capital commitments and the high cost of money Samuel L Hayes III  ch19 Does the capital asset pricing model work David W Mullins Jr ch 21 Pyrrhic victories in fights for market share William E Fruhan Jr 24 Choosing compatible acquisitions  Malcolm S Salter and Wolf a  Weinhold  ch 31 Hedging against inflation with floating rate notes Kenneth R Marks and Warren A Law ch 33 Hedging on loans linked to the prime William S Krasker,471875988,978-0471875987,New York Wiley
Financial management,Chapter 1 Introduction to Financial Management Chapter 2 Financial Statement Analysis Chapter 3 Sources of Financing Chapter 4 Capitalization Chapter 5 Capital Structure Chapter 6 Cost of Capital Chapter 7 Leverage Chapter 8 Dividend Decision Chapter 9  Capital Budgeting Chapter 10 Working Capital  Chapter 11 Working Capital Management Chapter 12 Special Financing  Chapter 13. Financial SystemFinancial management is a core subject which provides unavoidable part of the overall business management This book adopts a fresh and innovative approach to the study of financial management for the students of B Com B B A M Com  M B A  and other professional courses like C A  ICWA C S The text is presented in the simplest language with easy concepts  Each paragraph has been arranged under a suitable heading for quick retention of concepts This book also contains the suitable illustrations solved problems and model questions Contents Introduction to financial,8122427162,978-8122427165,New Delhi New Age International Ltd
Financial management,Business enterprises  Finance Managerial accounting Managerial accounting Problems exercises  etc Comptabilité de gestion Comptabilité de gestion  Problèmes et exercicesOverview of financial management The time value of money Risk and return Portfolio management Financial statement analysis Valuations The cost of capital Capital budgeting Further issues in capital budgeting Capital budgeting risk analysis Working capital Current asset management and short-term financing Sources of finance Capital structure Leasing Dividends and share buy-backs Mergers acquisitions and corporate restructuring Risk management and derivatives International financial management Business planning and financial modelling Corporate strategy and business models,1485129575,978-1485129578,Lansdowne Juta
Financial Management," For courses in Corporate Finance A balanced overview of financial management theory and practice Finance is one of the key drivers of a firm's activities, and a critical component to understanding business in general. Financial Management: Concepts and Applications is designed to help students with no prior knowledge grasp the applications and relevance of finance. Author Stephen Foerster reveals the practical side of finance, rather than just its theoretical concepts, and shows how finance intersects with many other areas of business. This program provides a better teaching and learnin.",1292077840,978-1292077840,Welwyn Garden City Pearson Education UK
Financial management,"Accounting Textbooks. Corporations  Finance. Business enterprises Finance. Accounting. AustralianThe text provides students with an introduction to the complexities of corporate financial management using a clear and practical approach, gradually developing financial management skills and knowledge, and understanding of how to apply them in the real world. Self-testing checkpoints throughout chapters provide opportunities for students to assess their understanding, and further practice is offered with a large number of problems at the end of each chapter.",170387046,978-0170387040,South Melbourne Victoria Cengage Learning Australia
Financial Management,"Cover Frontmatter Half title Full title Imprint Brief contents Detailed contents The 10 basic principles of finance Preface Visual preface Teaching tools for instructors Content consultants About the Australian authors Photo credits Part 1 Scope and environment of financial management Chapter 1 The role of financial management What is financial management Why study financial management Three types of business organisation The goal of the financial manager Ten principles that form the basis for financial management Financial management and the new multinational firm. Overview of the bookSummary Chapter 2 The tax environment What does tax have to do with financial management An introduction to income taxation; Income tax on companies and shareholders; Implications of dividend imputation for business decision making An introduction to capital-gains taxation; Implications of income tax and capital-gains tax on rates of return for shareholders; Summary; Chapter 3 The financial markets What are financial markets Role of financial markets Financial intermediaries; Movement of funds; Components of Australian financial markets. Pattern of fund flows in Australia financial marketsSummary Chapter 4 The time value of money Compound interest concepts Future value; Present value; Making interest rates comparable; Annuities; Future value of an ordinary annuity; Present value of an ordinary annuity; Paying off amortising a term loan Annuity due Perpetuity Complex cash flows Combining the present value of an annuity with a single future value: the case of bond valuation Interpolation within financial tables: finding missing table values; Solving multipart and nonstandard problems. How financial managers use this materialSummary Appendix: Origins of formulae Part 2 Financial planning and analysis and working capital management Chapter 5 Evaluating a firm financial performance; Basic financial statements Preparing and using a funds statement The statement of cash flows Evaluating financial performance through ratio analysis Limitations of ratio analysis Summary Chapter 6 Financial forecasting, planning and budgeting Forecasting financial needs Limitations of the percent-of-sales method of financial forecasting. Financial planning, budgets and the cash forecastPro-forma financial statements Financial monitoring and control Financial planning and budgeting closing comments Summary Chapter 7 Working-capital management and short-term financing Working capital Managing current assets and liabilities The hedging principle and the appropriate level of working capital Short term financing and its cost Sources of short term finance Summary Chapter 8 Current asset management The importance of cash in managing the firm; Motives for holding cash; Cash-management objectives and risks.",1442551623,978-1442551626,Melbourne  P Ed Australia
Financial management,"Small business Finance.Introduction Understanding financial statements Analyzing financial statements Financial forecasting and budgeting Analyzing and improving management performance Understanding the concept of time value of money Understanding return and risk Valuing stocks and bonds Cost of capital How to make capital budgeting decisions Leverage and capital structure Using working capital management effectively Short-term and intermediate-term financing Long-term debt financing Long-term equity financing Dividend policy Hybrids, derivatives, and risk management Failure and reorganization International finance Outsourcing and reengineering Appendices. A Online Internet resources Excel financial and investment functions.",764139401,978-0764139406,Hauppauge N.Y. Barron's Educational Series
Financial Management,"Business enterprises Finance Corporations Finance.Preface; Chapter 1; The Effects of Personal Financial Knowledge on Financial Behavior; Abstract; Introduction; Financial Knowledge and Financial Behavior; Method; Data Collection; Characteristics of the Sample; Measurement of the Variables; Dependent Variable; Financial Practices; Financial Knowledge; Demographic and Socio-Economic Variables; Statistical Procedure; Results; Financial Management Practices (Financial Behavior); Credit Management; Saving; Investment; Financial Knowledge; Credit Management; Saving; Investment. Correlations between Financial Behavior and Financial KnowledgeRegression Analysis Results; Discussion and Conclusion; References; Chapter 2; Lost in Translation?; Abstract; 1. Introduction; 2. Changes in the Global Economic Landscape; 3. Changes in the Global Financial Landscape; 4. Exchange Rates and Shifts in Global Shares of GDP and Market Capitalization; 5. Globalization, the Geographic Distribution of Control of Large Listed Companies, and the GFC; 5.1. Globalization and the Rise of Large Multinational Companies; 5.2. Globalization and the Impact of the GFC. 5.3. The Geographical Distribution of Large Listed Companies 5.4. Contribution of Exchange Rate Changes to the Observed Geographical Distribution of Large Listed Companies; Conclusion; Appendix A: Data sources; References; Chapter 3; The Challenges and Innovations of Event Study Methodology; Abstract; 1. Introduction; 2. Brief History; 3. The Event Study Methodology; 4. Recent Applications of and Challenges to the Event Study Methodology; 4.1. Terrorist Attacks and Firm-Specific Information; 4.2. Green Effects and Asset Pricing Models. 4.3. Disasters, Statistical Significance and Simultaneous Events4.4. Multilateral Trading Systems and Non-Normality of Abnormal Returns; 4.5. Brexit, Asynchronicity, Market Integration and Spillover Effects; 5. Innovations around Event Study Methodology; 5.1. Excessiveness Measure; 5.2. Effectiveness Measure; Conclusion; References; Chapter 4; The Challenges of ETFs and Their Underlying Constituents; Abstract; 1. Introduction; 2. The Structure of ETFs; 3. ETF Challenges; 3.1. Limits to Arbitrage; 3.2. Price Discovery and Informational Efficiency of ETFs. 3.3. ETF as a Cause of Liquidity Crisis for Its Underlying Constituents3.4. Creation and Redemption through Fund Flows and Price Manipulation; 3.5. Volatility and Volatility Spillover; Conclusion; Acknowledgments; References; Chapter 5; Financial and Living Satisfaction in the Elderly Population; Abstract; Introduction; Method; Participants; Process; Data Collection Tools; Data Analysis; Results; Demographic Variables; Conclusion; References; Index; Blank Page.",1536118338,978-1536118339,Hauppauge : Nova Science Publishers
Corporate financial management,"Corporations Finance Management Corporations  Finance Corporations Finance Corporations Finance Management1 Introduction 11 The financial world 2Part 2 The investment decision 492 Project appraisal: net present value and internal rate of return 503 Project appraisal: cash flow and applications 894 The decision-making process for investment appraisal 1255 Project appraisal: capital rationing, taxation and inflation 151Part 3 Risk and return 1736 Risk and project appraisal 1747 Portfolio theory 2228 The Capital Asset Pricing Model and multi-factor models 268Part 4 Sources of finance 3279 Stock markets 32810 Raising equity capital 36511 Long-term debt finance 42212 Short- and medium-term finance, treasury and working capital management 47413 Stock market efficiency 542Part 5 Corporate value 61114 Value-based management 61215 Value-creation metrics 65816 The cost of capital 70417 Valuing shares 73818 Capital structure 78719 Dividend policy 84020 Mergers 868Part 6 Managing risk 92721 Derivatives 92822 Managing exchange-rate risk 974Appendices A 1I Future value of GBP1 at compound interest A:2II Present value of GBP1 at compound interest A:3III Present value of an annuity of GBP1 at compound interest A:4IV Future value of an annuity of GBP1 at compound interest A 5V Areas under the standardised normal distribution A:6VI Answers to the mathematical tools exercises in Chapter 2, Appendix 2.1 A:7Glossary G:1Bibliography B:1Index I:1",1292140445,978-1292140445,"Harlow, England New York Pearson"
