title,description ,ISBN10,ISBN13,publisher 
Emerging markets and the global economy : a handbook,"Emerging markets and the global economy : a handbookEconomic development Developing countries. International trade. Globalization. Developing countries  Economic conditions. BUSINESS  ECONOMICS  Exports Imports. BUSINESS ECONOMICS International  General. BUSINESS ECONOMICS International Marketing.POLITICAL SCIENCE International Relations Trade Tariffs. Economic development. Economic history. Developing countries.Emerging Markets and the Global Economy investigates analytical techniques suited to emerging market economies, which are typically prone to policy shocks. Despite the large body of emerging market finance literature, their underlying dynamics and interactions with other economies remain challenging and mysterious because standard financial models measure them imprecisely. Describing the linkages between emerging and developed markets, this collection systematically explores several crucial issues in asset valuation and risk management. Contributors present new theoretical co",124115497,978-0124115491,Elsevier Science
Environment in the new global economy,"Environment in the new global economyEconomía ambiental. Desarrollo sostenible. Política ambiental. Globalización.A number of unprecedented environmental disasters have galvanized public concern, and have reached the international political agenda in part through the activities of new environmental social movements in the industrialized countries",1840640758,978-1840640755,E. Elgar Pub.
The global economy and international financing,"The global economy and international financingInternational finance. Foreign exchange. International trade. International business enterprises  Management. Internationale economie. Internationale financiën.Executive decision makers are coming to understand that strategic management, national government policies, and the international public sector are all related, often in subtle ways.",1567204015,978-1567204018,"Westport, CT : Quorum Books"
Innovation and growth in the global economy,Innovation and growth in the global economyTechnischer Fortschritt. Wirtschaftswachstum. Innovation. Welthandel. Neue Wachstumstheorie Außenwirtschaftstheorie Innovation Theorie Außenhandel ; SWD-ID: 40038324 Neue Technologie ; SWD ID: 41944628 Wirtschaftsentwicklung ; SWDID: 40664387,262071363,978-0262071369,"Cambridge, Mass. : MIT Press"
The global factory : networked multinational enterprises in the modern global economy,The global factory : networked multinational enterprises in the modern global economyWeltwirtschaft. Multinationales Unternehmen.This book brings together the key works on the global factory - a unique approach to the modern global economy that focuses on the orchestrating role of key multinational firms that control an integrated international network of independent firms.,1786431335,978-1786431325,MA Edward Elgar Publishing
Managing the global economy,"Managing the global economySTORIA BANCARIA ED ECONOMICA 1945 LABOUR MARKET CAPITAL EXCHANGE RATE POLICY GLOBAL FINANCIAL MARKETS INTERNATIONAL MACROECONOMIC POLICY COORDINATION KEYNESIAN ECONOMICS BRETTON WOODS SYSTEMThis book examines current issues in the world economic order  employment and international labour markets, volatility in foreign exchange markets, deregulation of financial markets - and asks whether we need new policies and institutions to manage the global economy. Writing from a predominately Keynesian perspective the contributors suggest a range of policy options.",198289693,978-0198289692,OXFORD UNIVERSITY PRESS
Managing in the Global Economy,"Managing in the Global EconomyInternational business enterprises Management.International trade Cross-cultural studies.Strategic planning.International economic relations.International trade.Preface; Part I. The Emerging Global Economy; 1. Managing in the Global Economy: An Introduction; 2. Challenges and Prospects of Globalization; 3. Economic Foundations of Global Business; 4. National Trade Policy and Competitive Advantage; 5. Legal and Political Foundations of Global Business; 6. Economic Integration and Regional Trading Blocs; Part II. Culture, Organization, And Strategy; 7. Cultural Foundations of Global Business; 8. Assessing Cultural Differences; 9. Organizing for Global Business; 10. Developing Global Business Strategies; 11. Building Global Strategic Alliances; 12. Strategies for International Negotiation; Part III. Managing Global Operations; 13. Staffing Global Operations; 14. Managing a Competitive Global Workforce; 15. Managing Total Quality and Employee Involvement; 16. Managing Multicultural Teams; 17. Managing in the Global Economy: A Field Project; About the Authors; Name Index; Subject Index",1317465563,978-1317465560,London : Routledge
Strategic management in the global economy,"Strategic management in the global economyInternational business enterprises Management. International business enterprises Planning. Strategic planning. International economic relations. Strategic Planning Internationales Management Multinationales Unternehmen Strategisches Management Aufsatzsammlung Strategisch management. Internationaal bedrijfsleven. International business enterprises International economic relations. Strategic planningThis text addresses the concerns of managers in small international firms as well as multinational managers. It covers traditional functional business areas such as marketing, production, finance and human resources.",471158739,978-0471158738,John Wiley
Theories of the multinational firm : a multidimensional creature in the global economy,"Theories of the multinational firm : a multidimensional creature in the global economyInversions estrangeres. Empreses multinacionals.Used internationally at undergraduate and postgraduate level, this highly successful textbook presents, analyses and compares six different theories of the multinational firm that have dominated the research in international business during the last four decades.",1785367153,978-1785367151,Edward Elgar Publishing
The international business environment : diversity and the global economy,"The international business environment : diversity and the global economyInternational economic relations. International business enterprises. International trade. Globalization  Economic aspects. Competition, International.Designed for introductory-level business environment courses, this text offers comprehensive and international coverage of the international business environment, especially on the changing global and technological environments.",333921453,978-0333921456,Basingstoke : Palgrave
The world environment & the global economy,"The world environment & the global economyEnvironmental economics. Environmental policy Economic aspects. Environmental protection Economic aspects. Global warming  Economic aspects. Human ecology Economic aspects.Contains over twenty articles in which the authors present opposing viewpoints on the issue of global warming, grouped in the three categories of climate change, world environment, and environment, economy and ethics.",865961794,978-0865961791,"Hudson, Wis. : GEM Pub"
The global economy : a concise history,"The global economy : a concise historyEconomic history. Commerce History. Industrial revolution History. Economic development History. BUSINESS  ECONOMICS  Economic History. Commerce. Economic development. Industrial revolution.The Global Economy - a Concise History traces the history of global economy over the past thousand years. In doing so, it explores all the main waves of globalization, from the trade revolution of the Middle Ages, to the Great and Little Divergence between the West and the East, as well as the North and the South of the World. This book examines the Industrial Revolution and the World Wars, and their respective consequences, as well as the interaction between technological shifts and the transition in geopolitical equilibria. The last chapters are dedicated to an in-depth examination of the transformation which occurred in the global economy after 1989. The chronological structure of the book is designed to help students memorize and understand key events. This book also discusses broader themes, such as convergence-divergence, growth and decline, development, and industrial revolutions. This will make it of interest not only to students and academics, but to all readers wishing to gain a deeper understanding of the history and current state of the global economy",429293550,978-0429293559,Routledge
Macroeconomics in the global economy,"Macroeconomics in the global economyPart 1 Introduction: basic concepts in macroeconomics; output determination - introducing aggregate supply and aggregate demand. Part 2 Intertemporal economics: consumption and saving; investment; saving, investment and the current account; the government sector. Part 3 Monetary economics: money demand; the money supply process; money, exchange rates and prices; inflation - fiscal and monetary aspects. Part 4 Output determination, stabilization policy and growth: macroeconomic policies and output determination in the closed economy; macroeconomic policies in the open economy - the case of fixed exchange rates, the case of flexible exchange rates; inflation and unemployment; institutional determinants of wages and unemployment; explaining business cycles; long-term growth. Part 5 Special topics in macroeconomics: the theory and practice of economic policy; financial markets; tradeable and non-tradeable goods; the developing country debt crisis; stopping high inflations",745006094,978-0745006093,New York : Harvester Wheatsheaf
Global political economy,"Global political economyInternational economic relations. International finance.Dealing with the central themes and issues of the subject, this text outlines the different theoretical approaches of the global political economy, as well as engaging key contemporary debates such as worldwide trade and production.",192552694,978-0192552693,Oxford University Press
Entrepreneurship in the global economy : engine for economic growth,"Entrepreneurship in the global economy : engine for economic growthEntrepreneurship. Economic development. Industrial policy. Economic policy. Globalization Economic aspects. BUSINESS & ECONOMICS  Entrepreneurship.Entrepreneurs have long been drivers of innovation in developed countries. They start companies and create new industries that keep economies strong and prosperous. Today, however, in developing nations such as China, state-controlled economies are building robust industries at stunning speed and siphoning off jobs from the West. How can entrepreneurs function in the face of this challengeCan they continue to create economic value in a globalized business environment This book addresses the crucial issue of state planning vs. free enterprise and examines specific problems surrounding entrepreneurship in the global economy through nine case histories of entrepreneurial companies. It also looks at how and why government gets involved in economic growth and how entrepreneurs contribute to economic value. Based on this analysis, the authors argue that companies can succeed, even in controlled economies, by understanding the customs and policies of countries where they do business",1139526111,978-1139526111,Cambridge University Press
Innovation Policy in a Global Economy,"Innovation Policy in a Global EconomyTechnological innovations  Economic aspects  Congresses. Technology and state  Congresses.Innovation Policy in a Global Economy concludes the successful sequence of books from Cambridge University Press on Globalisation and Technology. Presenting original theoretical and empirical research by leading experts in an accessible style, Innovation Policy will be vital reading for researchers, graduate and post-graduate students, and policy professionals",511837496,978-0511837494,Cambridge University Press
The value of everything : making and taking in the global economy,"The value of everything : making and taking in the global economyValue. Capitalism.Who really creates wealth in our world And how do we decide the value of what they do At the heart of today's financial and economic crisis is a problem hiding in plain sight. In modern capitalism, value extraction is rewarded more highly than value creation: the productive process that drives a healthy economy and society. From companies driven solely to maximize shareholder value to astronomically high prices of medicines justified through big pharma's 'value pricing', we misidentify taking with making, and have lost sight of what value really means. Once a central plank of economic thought, this concept of value what it is, why it matters to us is simply no longer discussed. Yet, argues Mariana Mazzucato in this penetrating and passionate new book, if we are to reform capitalism radically to transform an increasingly sick system rather than continue feeding it we urgently need to rethink where wealth comes from. Which activities create it, which extract it, which destroy it Answers to these questions are key if we want to replace the current parasitic system with a type of capitalism that is more sustainable, more symbiotic that works for us all. The Value of Everything will reignite a long needed debate about the kind of world we really want to live in Publisher's description.",1541758242,978-1541758247,New York : Public Affairs
Multinational corporations,Multinational corporationsEmpreses internacionals.This book provides an invaluable state-of-the art survey of the most important work on multinational corporations. It includes the first English translation of a key work by Stephen Hymer which transforms our understanding of the evolution of the modern theory of multinational corporations,1852781920,978-1852781927,Hant : Edward Elgar Publishing Limited
Multinational corporations and the global context,"Multinational corporations and the global contextCorporate Social Responsibility Multinationales Unternehmen Globalisierung International business enterprises Social responsibility of business AufsatzsammlungIntroduction. Corporate social responsibility in developing countries: a development-oriented approach Dima Jamali, Charlotte Karam and Michael Blowfield1. A corporate social responsibility calculus: Global dialogue and local discourses Duane Windsor2. Bridging the governance gap with political CSR Ismail Adelopo, Kemi Yekini and Lukman Raimi3. Operational intent and development impact in mining Deanna Kemp, John Owen and Vimala Dejvongsa4. The headquartering effect in international CSR Ralph Barkemeyer, Frank Figge and Lutz Preuss5. Indigenous communities and mega-projects: Corporate social responsibility (CSR) and consultation-consent principles Jacobo Ramirez6. Migrants' engagement in CSR: The case of a Ghanaian migrants' transnational social enterprise Daniela Bolzani and Selenia Marabello7. CSR, mining and development in Namibia David Littlewood and Jo-Anna Russon8. CSR and the development deficit: Part of the solution or part of the problem? Nonita Yap9. Social and environmental accountability in developing countries Ataur Belal10. CSR practices in Turkey: Examining CSR reports Bilge Uyan Atay and Asli Tuncay-Celikel11. CSR and sexual and reproductive health: A case study among women workers in the football manufacturing industry of Sialkot, Pakistan Sara Husain and Peter Lund-Thomsen12. CSR and firm performance: New evidence from developing countries Chiara Amini and Silvia Dal Bianco13. Political CSR and social development: Lessons from the Bangladesh garment industry Kristin Huber and Dirk Gilbert",1783534761,978-1783534760,Sheffield Greenleaf 
Managerial economics in a global economy,"Managerial economics in a global economyManagerial economics. Management Wirtschaftstheorie Managerial economicsIntroduction The nature and scope of managerial economics  Demand, supply, and equilibrium analysis Optimization techniques and new management tools  Demand analysis Demand theory  Demand estimation Demand forecasting Pro duction an d cost analysis  Production theory and estimation Cost theory and estimation Market structure and pricing practices  Market structure perfect competition, monopoly, and monopolistic competition  Oligopoly and firm architecture Game theory and strategic behavior Pricing practices Regulation, risk analysis, and capital budgeting Regulation and antitrust the role of government in the economy  Risk analysis Long-run investment decisions capital budgeting",190848251,978-0190848255,New York Oxford University Pres
