title ,description ,ISBN10,ISBN13,publisher 
Quantitative models for supply chain management,"Business logistics  Mathemathical models. Business logistics Data processing. Inventory control  Mathematical models. Inventory control  Data processing. Aufsatzsammlung Logistik Mathematisches Modell UnternehmenThe chapters in this category focus on introducing basic concepts, providing mathematical background and validating algorithmic tools to solve operational problems in supply chains. The chapters in this category explicitly model the effect of information on decision-making and on supply chain performance.",792383443,978-0792383444,Boston : Kluwer Academic Publishers
Quantitative models for value-based supply chain management,"Economics, Mathematical. Économie politique. Recherche opérationnelle. Analyse de la valeur. Gestion de la chaîne logistique. Méthode quantitative. Modèle mathématique.Supply chain management SCM strives for creating competitive advantage and value for customers by integrating business processes from end users through original suppliers. However, the question of how SCM influences the value of a firm is not fully answered. Various conceptual frameworks that explain the coherence of SCM and company value, comprehended as value-based SCM, are well accepted in scientific research, but quantitative approaches to value-based SCM are found rather seldom. The book contributes to this research gap by proposing quantitative models that allow for assessing influences of SCM on the value of a firm. Opposed to existing models that limit the observation to chosen facets of SCM or selected value drivers, this holistic approach is adequate to  reflect configurational and operational aspects of SCM,  cover all phases of the product life cycle,  financially compare value impacts of profitability-related and asset-related value drivers, and  assess influences of dynamics and uncertainties on company value",3642313043,978-3642313042,Heidelberg : Springer
Quantitative models in accounting : a procedural guide for professionals,Accounting Mathematical models. Kostenrechnung. Mathematisches Modell Rechnungswesen Mathematisches Modell. Rechnungswesen. Accounting Mathematical modelsReview of Mathematics Review of Probability and Statistics Review of Matrix Algebra Cost-Volume-Profit Analysis under Uncertainty Cost Estimation: Regression Analysis Cost Estimation: The Learning Curve Linear Programming Quantitative Approaches to Cost Control Inventory Models in Cost Accounting Capital Budgeting Control of Complex Programs Network Analysis,089930186X,978-0899301860,New York : Quorum Books
Improving portfolio performance with quantitative models,Investment analysis. Portfolio management.Quantitative models: a framework  H. Russell Fogler How dividend discount models can be used to add value Bruce I. Jacobs and Kenneth N. Levy  Forecasting factor returns: an intriguing possibility  Robert D. Arnott The successful use of benchmark portfolios Edward P. Rennie and Thomas J. Cowhey The Markowitz optimization enigma: is optimized optimal Richard O. Michaud Exploring factor optimization  John J. Nagorniak  Tailoring factor models to investor constraints Robert C. Jones Toward a unified theory of investing Richard J. Brignoli.,935015140,978-0935015140,Charlottesville
Quantitative operational risk models,Risk management. Operational risk.1. Understanding operational risk  2. Operational risk data and parametric models 3. Semiparametric models for operational risk severities 4. Combining operational risk data sources  5. Underreporting 6. Combining underreported internal and external data for operational risk measurement 7. A guided practical example.,1439895937,978-1439895931,Boca Raton
"Quantitative trading : algorithms, analytics, data, models, optimization","Investments  Mathematical models. Speculation Mathematical models. Investments  Data processing. Electronic trading of securities. MATHEMATICS  General. MATHEMATICS Probability Statistics General.Cover; Half Title; Title Page; Copyright Page; Dedication; Contents; Preface; List of Figures; List of Tables; 1 Introduction; 1.1 Evolution of trading infrastructure; 1.2 Quantitative strategies and time-scales; 1.3 Statistical arbitrage and debates about EMH; 1.4 Quantitative funds, mutual funds, hedge funds; 1.5 Data, analytics, models, optimization, algorithms; 1.6 Interdisciplinary nature of the subject and how the book can be used; 1.7 Supplements and problems; 2 Statistical Models and Methods for Quantitative Trading; 2.1 Stylized facts on stock price data. 2.1.1 Time series of low-frequency returns2.1.2 Discrete price changes in high-frequency data; 2.2 Brownian motion models for speculative prices; 2.3 MPT as a """"walking shoe"""" down Wall Street; 2.4 Statistical underpinnings of MPT; 2.4.1 Multifactor pricing models; 2.4.2 Bayes, shrinkage, and Black-Litterman estimators; 2.4.3 Bootstrapping and the resampled frontier; 2.5 A new approach incorporating parameter uncertainty; 2.5.1 Solution of the optimization problem; 2.5.2 Computation of the optimal weight vector; 2.5.3 Bootstrap estimate of performance and NPEB. 2.6 From random walks to martingales that match stylized facts2.6.1 From Gaussian to Paretian random walks; 2.6.2 Random walks with optional sampling times; 2.6.3 From random walks to ARIMA, GARCH; 2.7 Neo-MPT involving martingale regression models; 2.7.1 Incorporating time series effects in NPEB; 2.7.2 Optimizing information ratios along efficient frontier; 2.7.3 An empirical study of neo-MPT; 2.8 Statistical arbitrage and strategies beyond EMH; 2.8.1 Technical rules and the statistical background; 2.8.2 Time series, momentum, and pairs trading strategies. 2.8.3 Contrarian strategies, behavioral finance, and investors' cognitive biases2.8.4 From value investing to global macro strategies; 2.8.5 In-sample and out-of-sample evaluation; 2.9 Supplements and problems; 3 Active Portfolio Management and Investment Strategies; 3.1 Active alpha and beta in portfolio management; 3.1.1 Sources of alpha; 3.1.2 Exotic beta beyond active alpha; 3.1.3 A new approach to active portfolio optimization; 3.2 Transaction costs, and long-short constraints; 3.2.1 Cost of transactions and its components; 3.2.2 Long-short and other portfolio constraints. 3.3 Multiperiod portfolio management3.3.1 The Samuelson-Merton theory; 3.3.2 Incorporating transaction costs into Merton's problem; 3.3.3 Multiperiod capital growth and volatility pumping; 3.3.4 Multiperiod mean-variance portfolio rebalancing; 3.3.5 Dynamic mean-variance portfolio optimization; 3.3.6 Dynamic portfolio selection; 3.4 Supplementary notes and comments; 3.5 Exercises; 4 Econometrics of Transactions in Electronic Platforms; 4.1 Transactions and transactions data; 4.2 Models for high-frequency data; 4.2.1 Roll's model of bid-ask bounce.",1498706495,978-1498706490,Boca Raton : Chapman & HallCRC
Implementing models in quantitative finance : methods and cases,"Finance Mathematical modelsMethods.- Static Monte Carlo.- Dynamic Monte Carlo.- Dynamic Programming for Stochastic Optimization.- Finite Difference Methods.- Numerical Solution of Linear Systems.- Quadrature Methods.- The Laplace Transform.- Structuring Dependence using Copula Functions.- Problems.- Portfolio Selection: ""Optimizing"" an Error.- Alpha, Beta and Beyond.- Automatic Trading: Winning or Losing in a kBit.- Estimating the Risk-Neutral Density.- An ""American"" Monte Carlo.- Fixing Volatile Volatility.- An Average Problem.- Quasi-Monte Carlo: An Asian Bet.- Lookback Options: A Discrete Problem.- Electrifying the Price of Power.- A Sparkling Option.- Swinging on a Tree.- Floating Mortgages.- Basket Default Swaps.- Scenario Simulation Using Principal Components.- Parametric Estimation of Jump-Diffusions.- Nonparametric Estimation of Jump-Diffusions.- A Smiling GARCH.",3642061079,978-3642061073,Berlin ; London : Springer
Quantitative analysis for business decisions,"Industrial management Mathematical models. Decision making Mathematical models. Decision making Mathematical models Industrial management Mathematical models analyse van besluiten decision analysis besluitvorming econometrische modellen econometric models lineair programmeren linear programming bedrijfsvoering management wiskundige modellen mathematical models operationeel onderzoek operations research optimalisatie optimization programmeren programming simulatie simulation werkschema work flow computer software computerwiskunde computational mathematics Management studies, Business Administration, Organizational Science General Management, bedrijfskunde, organisatiekunde algemeen",256082677,978-0256082678,"Homewood, IL : Irwin"
Quantitative investment analysis,"Investment analysis  Mathematical models.Part of the CFA Institute Investment Series, this authoritative guide is relevant the world over and will facilitate your mastery of quantitative methods and their application in todays investment process. This updated edition provides all the statistical tools and latest information you need to be a confident and knowledgeable investor. This edition expands coverage of Machine Learning algorithms and the role of Big Data in an investment context along with capstone chapters in applying these techniques to factor modeling, risk management and backtesting and simulation in investment strategies. The authors go to great lengths to ensure an even treatment of subject matter, consistency of mathematical notation, and continuity of topic coverage that is critical to the learning process. Well suited for motivated individuals who learn on their own, as well as a general reference, this complete resource delivers clear, example-driven coverage of a wide range of quantitative methods.",1119743621,978-1119743620,"Hoboken, New Jersey : Wiley"
Quantitative Methods for Decision Makers 6th edn.,"Decision making  Mathematical models. Management science. BUSINESS ECONOMICS Industrial Management. BUSINESS ECONOMICS  Management. BUSINESS & ECONOMICS Management Science. BUSINESS & ECONOMICS  Organizational Behavior. Entscheidungsfindung Mathematisches Modell UnternehmenAppealing both to students on introductory courses for quantitative methods and MBA students, this well-respected text provides an accessible introduction to an area that students often find difficult. As a manager, developing a good understanding of the business analysis techniques at your disposal is crucial. Knowing how and when to use them and what their results really mean can be the difference between making a good or bad decision and, ultimately, between business success and failure. Quantitative Methods for Decision Makers helps students to understand the relevance of quantitative me. ",1292112719,978-1292112718,Pearson Education Limited
