title ,description ,ISBN10,ISBN13,publisher 
Strategic marketing,"Imperatives for Market-Driven Strategy Markets And Competitive Space Strategic Market Segmentation Strategic Customer Relationship Management Capabilities For Learning About Customers and Markets Market Targeting and Strategic Positioning Strategic Relationships Innovation and New Product Strategy Strategic Brand Management Value Chain Strategy Pricing Strategy Promotion, Advertising and Sales Promotion Strategies Sales Force, Internet and Direct Marketing Strategies Designing Market-Driven Organizations Marketing Strategy Implementation and Control.Designed around the marketing strategy process with a clear emphasis on analysis, planning, and implementation, this book discusses the concepts and processes for gaining a competitive advantage in the marketplace. It examines the key concepts and issues involved in analyzing and selecting strategies",78028906,978-0078028908,New York : McGraw-Hill/Irvin
Strategic Marketing,"Part 4: marketing's role in strategic innovation Chapter 7: Core marketing strategies 7.1 Strategic innovation strategies 7.2 Core marketing strategies 7.3 The customer value creation mix Summary Chapter 8: Incremental innovation strategies 8.1 The challenge of new product development 8.2 A framework for the development of NPD best practice 8.3 Business models Summary Chapter 9: Market development strategies 9.1 New market segments 9.2 New marketing channels 9.3 Geographic expansion Summary chapter 10: Radical innovation strategies.Prelims Title Page Imprint Page Contents Guide to the text Guide to the online resources Preface About the authors Acknowledgements Part 1: Introduction Chapter 01: The changing world of marketing 1.1 Era I: The early practice of marketing (before 1900) 1.2 Era II: The founding field of marketing (1900-1920) 1.3 Era III: Formalising the field (1920-1950) 1.4 Era IV: The era of marketing management (1950-1980)  1.5 Era V: The digital revolution (1980-present) Conclusion Summary Chapter 2: Strategic thinking and strategic decision-making 2.1 Strategy planning and strategic management an overview 2.2 Strategic planning at different organisational levels 2.3 The new era of strategy development 2.4 The strategic marketing management process a framework Summary Part 2: Identifying strategic opportunities Chapter 3: Strategic analysis 3.1 Getting started 3.2 Situation analysis 3.3 Sources of marketing information Summary Appendix to Chapter 3: Financial analysis Part 3: Strategy development- high-level decision-making Chaptre 4: Strategy development high-level decision-making 4.1 Strategy development 4.2 Strategic tools and concepts 4.3 High-level marketing strategies Summary Appendix to chapter 4: Product life cycle concept Chapter 5: Segmentation targeting and positioning strategies  5.1 Segmentation 5.2 Targeting 5.3 Brand positioning 5.4 Market segmentation and positioning decision-making aids 5.5 The customer value creation mix Summary Chapter 6: The customer value creation mix digital strategies 6.1 What do customers value 6.2 Review of customer value creation mix strategies 6.3 The customer valu creation mix 10.1 Radical innovation  10.2 'Big I' innovation  the fuzzy front end of innovation 10.3 Strategies for new-to-the-world innovations 10.4 Strategies for new-to-the-firm innovations Summary Part 5: Managing the strategic marketing process Chapter 11: Strategy implementation, evaluation and control 11.1 Resource allocation 11.2 Implementation 11.3 Evaluation and control of performance Summary Chapter 12: Ethical considerations in strategy planning 12.1 Definition of ethics 12.2 Regulation in Australia 12.3 A framework for putting ethics into strategy",170288943,978-0170288941,Melbourne : Cengage
Contemporary strategic marketing,"Marketing Management. Marknadsföring. Strategisk planering. Marketingbeleid marketing policy marktconcurrentie market competition marketing efficiency marktanalyse market analysis Marketing Policy and Strategy Marketingbeleid en -strategiePART ONE: TEXT Introduction Understanding Consumer Behaviour Understanding Organisational Buying Behaviour The Competitive Environment The Macro-Environment Strategic Marketing Analysis Marketing Strategy Formulation Relationship Marketing Strategies e-Marketing Strategies Marketing Strategy for Services international Marketing Strategy Analysing Strategic Marketing Case Studies PART TWO: CASE STUDIES British Telecommunications Plc (2001): Strategic Challenges BT Plc: Brave New World Competition in the UK Ice Cream Market London Olympics 2012: The Race for Sponsorship Abbey: Mortgage Marketing in the UK GlaxoSmithKline in South Africa UPS: 100 Years of Turning Brown into Gold News Corporation in the British Newspaper Market A Tale of Two Wine Brands BriCol Engineering Ltd Crisis in the European Airline Industry Golden Arch Hotels Marketing Australia to the World Trouble with the CPC100 Coca-Cola: Challenges to Global Growth PART THREE: READINGS Extract from Turnbull, P, Ford, D and Cunningham, M (1996), 'Interaction, Relationships and Networks in Business Markets: An Evolving Perspective', Journal of Business and Industrial Marketing Extracts from Sheth, J and Sisodia, R (1999), 'Revisiting Marketing's Lawlike Generalizations', Journal of the Academy of Marketing Science, 27(1), 71-87 Extract from Gronroos, C (1995), 'Relationship Marketing: The Strategy Continuum', Journal of the Academy of Marketing Science, 23(4), 252-254 Extract from Witkowski, T H (2005), 'Antiglobal Challenges to Marketing in Developing Countries: Exploring the Ideological Divide', Journal of Public Policy & Marketing, 24(1), 7-23 Extract from Doyle, P (2000), Value-Based Marketing, Chichester: Wiley.",230507204,978-0230507203,"Houndmills, Basingstoke, Hampshire ; New York : Palgrave Macmillan,"
Strategic marketing management,"Marketing Europe Management. Marketing  Management. Europe. Marketing Strategisches Management Marketing. Strategisch management. marketing bedrijfsvoering management
europa europe studieboeken textbooks Marketing Policy and Strategy Marketing General Marketingbeleid enstrategie Marketing algemeenStrategic Marketing Management is a post-introductory text in Marketing which is thoroughly European - the French language edition is already the best-selling marketing textbook in France. Comprising sixteen chapters carefully structured within five parts, this book offers innovative and comprehensive coverage of strategic marketing management. In Part 1 the distinction between operational marketing and strategic marketing is made, and the reader is shown why, in the new European macromarket, strategy is most important and why the entire organization must be market-oriented. Part 2 opens with an analysis of the needs of individuals and organizations in order to establish the buyer's purchase and response behaviour, and examines the vital role of market research in this process. Part 3 is devoted to the tasks of strategic marketing. Part 4 looks closely at issues of implementation. Finally, in Part 5 there are fifteen topical case studies with follow-up questions which have been specially selected to illustrate and examine a wide range of strategic marketing management issues. Part 1 The changing role of marketing: the role of marketing in the firm and in a marketing economy; from marketing to market-driven management. Part 2 Understanding buyer behaviour: marketing and needs satisfaction; the buyer choice behaviour; marketing research and information systems; the buyer's response behaviour. Part 3 Marketing strategy development: need analysis through market segmentation; market attractiveness analysis; competitive analysis; formulating a marketing strategy; the strategic marketing plan. Part 4 Strategic marketing in action: new product decisions; distribution channel decisions; strategic pricing decisions; strategic communication decisions. Part 5 Case studies in strategic marketing.",77092279,978-0077092276,London ; New York : McGraw-Hill
Strategic marketing,"Marketing Decision making. Marketing Management. Strategic planning. BUSINESS & ECONOMICS Industrial Management. BUSINESS & ECONOMICS Management. BUSINESS & ECONOMICS Management Science. BUSINESS & ECONOMICS Organizational Behavior.All organisations - from modest start-ups to multinational corporations can benefit from an effective marketing strategy, as it serves as a roadmap for the entire business. By formulating a coherent and well-considered marketing strategy, organisations can promote their business, cater to the right types of clients and allocate their resources correctly, all while safeguarding the reputation of the organisation. Strategic Marketing is structured around the four key questions facing organisations and top management when deciding on their strategic direction. Written with the undergraduate stud.	Chapter 1: 1.1 Introduction; 1.2 What is meant by strategy?; 1.3 Strategy levels; 1.4 The nature of strategic marketing; 1.5 Strategic marketing and marketing management; 1.6 Summary; Endnotes. Chapter 2: 2.1 Introduction ; 2.2 Characteristics of the external environment; 2.3 Subdivisions of the external environment 2.4 External environment SWOT analysis; 2.5 Predicting the future of the external environment; 2.6 Identifying influential external forces; 2.7 Proactive and reactive response strategies; 2.8 Risk analysis; 2.9 Summary; Endnotes. Chapter 3: 3.1 Introduction; 3.2 What is relationship marketing?; 3.3 What is customer relationship management?; 3.4 Guidelines for successful relationship marketing and customer relationship management; 3.5 Getting to know current and future customers; 3.6 Understanding customers better through the 6W model of customer analysis; 3.7 Customer segmentation; 3.8 Evaluating the attractiveness of a market segment; 3.9 Planning for better relationships; 3.10 Market information and knowledge resources about customers; 3.11 The customer value creation process; 3.12 Customer loyalty management; 3.13 Summary; Endnotes. Chapter 4. Chapter 5.Chapter 6: 6.1 Introduction; 6.2 Importance and challenges of the market environment; 6.3 Internal environmental analysis; 6.4 Strategic fit between the analyses of the different analytical processes; 6.5 Strengths, weaknesses, opportunities and threats (SWOT) analysis; 6.6 Summary; Endnotes. Chapter 7: 7.1 Introduction; 7.2 What is a metric?; 7.3 Why measure marketing?; 7.4 The benefits of metrics in marketing strategy; 7.5 The evolution of marketing metrics; 7.6 The field of marketing metrics; 7.7 From metrics to big data; 7.8 Strategy and metrics; 7.9 Selected marketing metrics; 7.9 Summary; Endnotes. Chapter 8; Chapter 9; Chapter 10; Chapter 11; Chapter 12; Chapter 13; Chapter 14; Chapter 15; Chapter 16; Chapter 17; Chapter 18; Chapter 19.",1485124735,978-1485124733,"Cape Town, South Africa : Juta & Company (Pty) Ltd"
Strategic marketing,"Part 1.Strategic Marketing: Concepts, Processes and Challenges.The Strategy Marketing Interface.The Strategy Marketing Planning Process.Challenges: Old Dogs xxx; New Tricks.Part 2.Case Studies.This book is designed to help the reader to gain a practical understanding of the strategic marketing process. Through various international cases, the text shows how strategic marketing concepts can be applied to real-life situations, and how marketing solutions are found in different business sectors and environments",4990374,978-0004990378,AWL
Strategic marketing,Marketing Decision making. Marketing  Management. Strategic planning.,1485130832,978-1485130833,"Cape Town, South Africa : Juta & Company (Pty) Ltd,"
Strategic marketing management,"Marketing Management. Marketing Gestion. BUSINESS & ECONOMICS Industrial Management. BUSINESS & ECONOMICS Management. BUSINESS & ECONOMICS  Management Science. BUSINESS & ECONOMICS  Organizational Behavior.This book considers marketing management within the overall corporate system of business policy-making, strategic planning and the implementation and control of effective plans. The information requirements of marketing management are highlighted and the marketing information system concept is developed within the framework of managerial information systems. In the chapters which deal with the elements of the marketing 'mix', the interrelated nature of these variables is emphasized. The book illustrates how the successful marketing manager can master each 'weapon' in the marketing 'armoury' an.",1317646991,978-1317646990,London : Routledge
Strategic Marketing : an Introduction.,"Table of Contents; List of illustrations; Preface; 1 Marketing strategy: introduction and overview; 2 Portfolio analysis; 3 Analysis of the business enterprise; 4 Industry analysis; 5 Market analysis; 6 Analysing competition; 7 Analysing the business environment; 8 Analysing the customer in the market place; 9 Sustainable competitive advantage and generic strategies; 10 Segmentation, targeting and positioning; 11 Marketing mix strategy; 12 Growth strategies: product-market expansion; 13 Facilitating the implementation of strategies. 14 Marketing planning and implementing marketing strategyBibliography; Further reading; Index.Fully updated and revised to include the latest case studies and examples from a broad range of industry sectors, this second edition of Strategic Marketing: An Introduction is a concise, thorough and enlightening textbook that demonstrates how organizations can cope with a myriad of demands by better understanding themselves, their products or services, and the world around them. From assessing internal relationships to planning and implementing marketing strategies, and featuring analysis of relationship marketing and strategic alliances, Proctor uses insight.",1317834232,978-1317834236,Hoboken : Taylor and Francis
Strategic marketing : creating competitive advantage,"Marketing. marketing. leermiddelen.The third edition of Strategic Marketing examines the ways in which companies create and sustain their competitive advantage. Utilizing a marketing strategy framework, it covers each of the central questions in the ""WWHD"" model: Where are you now? Where do you want to be? How will you get there? Did you get there? This framework provides students with the tools and techniques to assess the role of marketing strategy in an organization, and to evaluate its impact and contribution. The authors use case studies throughout each chapter to demonstrate how firms such as Nike, Samsung, and Tesco develop their marketing strategies and maintain their competitor advantage. (source: global.oup.com).",019968409X,978-0199684090,Oxford : Oxford University Press
